src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Jitter_ms,Label_Loss_Rate,src1_port2_mbps_cv,src1_port3_mbps_cv,src1_port4_mbps_cv,src1_port5_mbps_cv,src1_port2_load_util,src1_port3_load_util,src1_port4_load_util,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Label_Class
1,0.0,0.0,1,0.0,0.0,43,1.1465,0.1843,42,1.1482,0.1827,2.4,2,0.8,2,0.8,8,1.2,8,1.2,54.928,17.8467799561624,0.0,0.0,0.0,0.1608,0.1591,0.0,0.0,0.9554,0.9568,42,0.5737,87,2
4,0.4019,0.0711,4,0.3982,0.0602,2,0.1998,0.0409,2,0.1994,0.0393,1.2,6,0.8,6,0.8,2,1.2,2,1.2,25.103,18.14278278158577,0.0,0.1769,0.1512,0.2047,0.1971,0.5024,0.4978,0.1665,0.1662,2,0.1002,12,0
3,0.5187,0.0875,2,0.4819,0.0784,3,0.7098,0.1106,3,0.6921,0.103,2.4,2,0.8,2,0.8,3,1.2,3,1.2,65.204,13.601426200938358,0.0,0.1687,0.1627,0.1558,0.1488,0.6484,0.6024,0.5915,0.5768,1,0.1014,11,0
2,0.1596,0.0367,2,0.1418,0.031,4,0.4585,0.0688,4,0.4436,0.0684,1.2,1,0.8,1,0.8,2,1.2,2,1.2,46.772,17.009289451600228,0.0,0.2299,0.2186,0.1501,0.1542,0.1995,0.1772,0.3821,0.3697,2,0.1504,12,0
4,0.4976,0.0725,4,0.5051,0.0714,1,0.0936,0.027,1,0.1064,0.0336,1.2,5,0.8,5,0.8,2,1.2,2,1.2,58.861,21.59239452287571,0.0,0.1457,0.1414,0.2885,0.3158,0.622,0.6314,0.078,0.0887,3,0.2007,10,0
4,0.4472,0.066,4,0.4528,0.0718,2,0.1443,0.0412,1,0.1572,0.04,1.2,7,0.8,7,0.8,4,1.2,4,1.2,41.755,20.466899738946555,0.0,0.1476,0.1586,0.2855,0.2545,0.559,0.566,0.1202,0.131,3,0.1497,11,0
64,0.7577,0.1022,64,0.7577,0.0972,3,0.9128,0.1398,3,0.8927,0.1482,3.6,4,0.8,4,0.8,6,1.2,6,1.2,738.562,11.94919601713071,3.1405472636815923,0.1349,0.1283,0.1532,0.166,0.9471,0.9471,0.7607,0.7439,61,0.0729,134,2
64,0.7551,0.1149,64,0.7549,0.1161,2,0.6003,0.109,3,0.5998,0.1112,3.6,6,0.8,6,0.8,3,1.2,3,1.2,1023.956,13.834339625717307,18.28358208955224,0.1522,0.1538,0.1816,0.1854,0.9439,0.9436,0.5002,0.4998,62,0.0775,133,1
1,0.1627,0.0415,1,0.1478,0.0464,64,1.1478,0.1789,64,1.1472,0.1776,4.8,2,0.8,2,0.8,8,1.2,8,1.2,2218.131,30.631633254353336,24.912689173457508,0.2551,0.3139,0.1559,0.1548,0.2034,0.1847,0.9565,0.956,63,0.4962,130,1
1,0.0378,0.0216,1,0.0622,0.0236,5,0.5526,0.0902,5,0.5493,0.0749,1.2,1,0.8,1,0.8,7,1.2,7,1.2,51.821,17.663467055312655,0.0,0.5714,0.3794,0.1632,0.1364,0.0472,0.0778,0.4605,0.4578,4,0.2506,12,0
